X - Plot 0	cos(X) - Plot 0	
0	361.887	
9	360.137	
18	360.458	
27	359.519	
36	359.286	
45	359.521	
54	359.38	
63	359.567	
72	358.825	
81	358.286	
90	357.997	
99	357.83	
108	357.702	
117	357.694	
126	357.643	
135	357.65	
144	360.081	
153	362.093	
162	361.822	
171	362.838	
180	362.187	
189	361.709	
198	361.172	
207	360.582	
216	360.252	
225	360.076	
234	359.891	
243	360.06	
252	359.812	
261	359.822	
270	359.575	
279	359.456	
288	359.216	
297	359.121	
306	359.271	
315	359.588	
324	360.055	
333	360.027	
342	361.579	
351	361.556	
360	360.934	
